지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),평균 현지기압(hPa)
108,서울,1990-01-01,-1.7,-4,1.8,0,1.9,68.5,1012.5
108,서울,1990-01-02,-3.5,-5.7,-0.9,0.1,2.1,64,1013.8
108,서울,1990-01-03,-5,-7.2,-1.7,,2.3,55,1015.1
108,서울,1990-01-04,-3.3,-8.9,2.1,,1.4,59,1016.3
108,서울,1990-01-05,0.7,-2.4,2.1,3.2,2.2,80.8,1011.9
108,서울,1990-01-06,-3.2,-5.6,0.2,,3.7,41,1016.9
108,서울,1990-01-07,-3.3,-7.8,2.5,,1.2,49.3,1022.3
108,서울,1990-01-08,-0.2,-4.6,4.2,,2,46.5,1020.1
108,서울,1990-01-09,5.6,2.8,7.8,3.9,2,56,1011.3
108,서울,1990-01-10,4.2,2.8,6.4,16.7,2.8,86.8,1004.5
108,서울,1990-01-11,2.9,1.7,3.8,,2.1,72.8,1014.1
108,서울,1990-01-12,0.7,-3.8,3.1,,3.9,67.8,1012.1
108,서울,1990-01-13,-4.5,-7.2,-1.7,,3.1,42.8,1015.5
108,서울,1990-01-14,-3,-6.3,1.3,0,1.4,60,1015.6
108,서울,1990-01-15,-3.3,-5,-1.9,,2.3,62,1014.4
108,서울,1990-01-16,-3.4,-7.9,1.4,,1.7,58.8,1011.9
108,서울,1990-01-17,0.9,-3.3,5.7,0,2.3,69.5,1011
108,서울,1990-01-18,2.5,-4.1,5.2,3,4,62,1008.2
108,서울,1990-01-19,-5.6,-9.3,-2.4,,4,50.5,1017.8
108,서울,1990-01-20,-7.6,-11.2,-3.6,,2.5,40.8,1021.9
108,서울,1990-01-21,-4.5,-8.6,-0.8,4.1,1.5,70,1018.1
108,서울,1990-01-22,-9.2,-13.6,-1.3,1.3,4.5,50,1018.5
108,서울,1990-01-23,-11.5,-15.4,-7,0,2.2,44.3,1017.2
108,서울,1990-01-24,-13,-16.4,-10.5,,3.9,45.5,1017.7
108,서울,1990-01-25,-14,-17.1,-10.6,,2.9,48.3,1025.5
108,서울,1990-01-26,-11.4,-16.9,-5.4,,1.2,46.5,1027.4
108,서울,1990-01-27,-6.6,-11.5,-2,0,1.7,55,1025.5
108,서울,1990-01-28,-0.8,-4.6,2.3,0.2,2.6,61.5,1020.5
108,서울,1990-01-29,2.2,1,4.6,9.8,2.4,89,1012.1
108,서울,1990-01-30,0.7,-1.8,1.6,11.9,1.9,90,1016.1
108,서울,1990-01-31,-1.1,-2.1,0.1,8,2.1,92.5,1014.4
108,서울,1990-02-01,-1.5,-2.6,0.2,0.9,1.9,89.8,1016.9
108,서울,1990-02-02,-1.7,-3.4,0.3,,1.5,78,1021
108,서울,1990-02-03,-2,-4.8,1.2,,1.7,75.5,1018.6
